field_1,Estacion,mes,lat,long,Altura_(m),Numero,Temperatura_(C),Temperatura_maxima_(C),Temperatura_minima_(C),Humedad_relativa_(%),Velocidad_del_Viento_(km/h),Nubosidad_total_(octavos),Precipitacion_(mm),Frecuencia_dias_Precipitacion_>0.1_mm,CL
"0",LA QUIACA,ene,-12.000000000000000,-63.333333333333336,"3459","87007",12.800000000000001,20.100000000000001,7.400000000000000,65.299999999999997,6.900000000000000,5.200000000000000,97.500000000000000,15.900000000000000,"3"
"1",LA QUIACA,feb,-12.000000000000000,-63.333333333333336,"3459","87007",12.500000000000000,19.899999999999999,7.000000000000000,64.099999999999994,7.100000000000000,4.800000000000000,68.400000000000006,12.199999999999999,"3"
"2",LA QUIACA,mar,-12.000000000000000,-63.333333333333336,"3459","87007",12.400000000000000,19.899999999999999,6.300000000000000,62.399999999999999,6.500000000000000,4.100000000000000,55.899999999999999,9.800000000000001,"3"
"3",LA QUIACA,abril,-12.000000000000000,-63.333333333333336,"3459","87007",10.900000000000000,19.699999999999999,2.800000000000000,48.200000000000003,6.400000000000000,2.700000000000000,8.199999999999999,2.400000000000000,"3"
"4",LA QUIACA,mayo,-12.000000000000000,-63.333333333333336,"3459","87007",6.900000000000000,17.300000000000001,-3.000000000000000,34.600000000000001,6.000000000000000,1.800000000000000,1.000000000000000,0.300000000000000,"3"
"5",LA QUIACA,jun,-12.000000000000000,-63.333333333333336,"3459","87007",4.400000000000000,15.600000000000000,-6.200000000000000,31.100000000000001,4.900000000000000,1.600000000000000,0.500000000000000,0.100000000000000,"3"
"6",LA QUIACA,jul,-12.000000000000000,-63.333333333333336,"3459","87007",4.100000000000000,15.400000000000000,-6.800000000000000,30.100000000000001,6.600000000000000,1.400000000000000,0.000000000000000,0.000000000000000,"3"
"7",LA QUIACA,ago,-12.000000000000000,-63.333333333333336,"3459","87007",6.700000000000000,17.399999999999999,-4.200000000000000,31.699999999999999,6.600000000000000,1.600000000000000,1.400000000000000,0.400000000000000,"3"
"8",LA QUIACA,sep,-12.000000000000000,-63.333333333333336,"3459","87007",9.300000000000001,19.199999999999999,-1.100000000000000,34.399999999999999,8.600000000000000,2.000000000000000,3.500000000000000,0.900000000000000,"3"
"9",LA QUIACA,oct,-12.000000000000000,-63.333333333333336,"3459","87007",11.699999999999999,21.100000000000001,2.800000000000000,45.299999999999997,8.699999999999999,3.000000000000000,16.000000000000000,3.500000000000000,"3"
"10",LA QUIACA,nov,-12.000000000000000,-63.333333333333336,"3459","87007",12.800000000000001,21.699999999999999,5.200000000000000,52.299999999999997,8.800000000000001,3.600000000000000,27.300000000000001,7.400000000000000,"3"
"11",LA QUIACA,dic,-12.000000000000000,-63.333333333333336,"3459","87007",13.199999999999999,21.300000000000001,6.900000000000000,59.200000000000003,8.300000000000001,4.500000000000000,71.900000000000006,12.699999999999999,"3"
"12",ORAN,ene,-16.333333333333332,-60.842105263157897,"357","87016",,32.299999999999997,21.500000000000000,,8.400000000000000,,216.599999999999994,14.300000000000001,"1"
"13",ORAN,feb,-16.333333333333332,-60.842105263157897,"357","87016",25.100000000000001,31.100000000000001,20.800000000000001,,8.400000000000000,,183.699999999999989,12.900000000000000,"1"
"14",ORAN,mar,-16.333333333333332,-60.842105263157897,"357","87016",23.899999999999999,29.399999999999999,20.500000000000000,83.599999999999994,6.900000000000000,5.700000000000000,184.199999999999989,15.300000000000001,"1"
"15",ORAN,abril,-16.333333333333332,-60.842105263157897,"357","87016",20.899999999999999,26.000000000000000,17.800000000000001,85.299999999999997,6.400000000000000,6.000000000000000,70.900000000000006,12.000000000000000,"1"
"16",ORAN,mayo,-16.333333333333332,-60.842105263157897,"357","87016",17.699999999999999,23.199999999999999,14.199999999999999,83.799999999999997,6.200000000000000,5.600000000000000,19.800000000000001,6.600000000000000,"2"
"17",ORAN,jun,-16.333333333333332,-60.842105263157897,"357","87016",15.000000000000000,21.199999999999999,11.000000000000000,82.299999999999997,6.800000000000000,5.100000000000000,6.300000000000000,3.900000000000000,"2"
